Date,Currency,Impact,Actual,Forecast,Previous
Apr 12 11:30pm,NZD,low,46.0,47.6,
Apr 13 12:50am,JPY,low,2.0%,1.6%,1.7%
Apr 13 10:00am,CNY,low,8.5%,8.9%,9.0%
Apr 13 10:01am,CNY,low,2990B,3465B,900B
Apr 13 1:30pm,CAD,low,-8.4%,-0.4%,3.5%
Apr 13 3:00pm,USD,low,3.98M,4.07M,4.13M
Apr 13 11:15pm,AUD,low,,,
Apr 13 11:20pm,USD,low,,,
Apr 13 11:45pm,NZD,low,0.9%,,
Apr 14 12:01am,GBP,low,0.9%,0.7%,
Apr 14 1:30am,AUD,low,1.2%,,
Apr 14 2:30am,AUD,low,-1,,
Apr 14 Tentative,CNY,low,760B,1503B,
Apr 14 Tentative,CNY,low,107.2B,213.6B,
Apr 14 5:30am,JPY,low,-2.1%,-2.1%,
Apr 14 7:00am,EUR,low,0.4%,0.6%,
Apr 14 9:50am,GBP,low,,,
Apr 14 11:00am,USD,low,97.8,98.8,
Apr 14 1:15pm,USD,low,26.0K,,
Apr 14 1:30pm,USD,high,0.4%,0.5%,1.1%
Apr 14 2:30pm,GBP,low,0.0%,,
Apr 14 3:00pm,GBP,low,,,
Apr 14 5:10pm,USD,low,,,
Apr 14 5:45pm,USD,low,,,
Apr 14 6:00pm,USD,low,,,
Apr 14 9:10pm,GBP,low,,,
Apr 14 9:30pm,USD,low,,,
